,time,0.0,1.0,2.0,mean0,std0,mean1,std1,mean2,std2,posX,posY
13631,2023-07-05 17:50:47.157000+02:00,-68.5,-59.63636363636364,-63.096774193548384,-69.92363636363636,4.082215458476466,-61.45454545454545,2.03106965864574,-59.875014662756605,2.8220866361315404,4.5,2.5
13632,2023-07-05 17:50:47.257000+02:00,-69.0,-59.09090909090909,-62.96774193548387,-69.98181818181818,4.04705415416021,-61.33818181818182,1.995468446479593,-59.99073313782991,2.828017956437204,4.5,2.5
13633,2023-07-05 17:50:47.357000+02:00,-69.5,-58.54545454545455,-62.83870967741935,-70.05727272727272,4.001020383430311,-61.2,1.9431354160650207,-60.11841642228738,2.8091606289277204,4.5,2.5
13634,2023-07-05 17:50:47.457000+02:00,-70.0,-58.27272727272727,-62.70967741935484,-70.15,3.943331187389478,-61.05454545454546,1.882470620345284,-60.25806451612903,2.7595296834406744,4.5,2.5
13635,2023-07-05 17:50:47.557000+02:00,-70.5,-58.54545454545455,-62.58064516129032,-70.23454545454545,3.903622183234598,-60.92363636363636,1.8226888215372457,-60.4052871754524,2.6804616013015057,4.5,2.5
13636,2023-07-05 17:50:47.657000+02:00,-71.2,-58.81818181818182,-62.45161290322581,-70.30763636363636,3.8864201560415617,-60.80727272727273,1.7656536207540778,-60.54553894571204,2.5974830846844634,4.5,2.5
13637,2023-07-05 17:50:47.757000+02:00,-71.4,-59.09090909090909,-62.32258064516129,-70.35927272727272,3.883377153246837,-60.70545454545455,1.7130894797484502,-60.67881982690795,2.5111420926026127,4.5,2.5
13638,2023-07-05 17:50:47.857000+02:00,-71.6,-59.36363636363637,-62.193548387096776,-70.38945454545454,3.887111423247045,-60.61818181818182,1.666521289309847,-60.80512981904013,2.4219876519261665,4.5,2.5
13639,2023-07-05 17:50:47.957000+02:00,-71.8,-59.63636363636363,-62.064516129032256,-70.39818181818181,3.889832181522892,-60.54545454545455,1.6271940274181984,-60.924468922108574,2.330577328422728,4.5,2.5
13640,2023-07-05 17:50:48.057000+02:00,-72.0,-59.90909090909091,-61.935483870967744,-70.38545454545454,3.883395290372177,-60.48727272727273,1.5959813880784446,-61.0368371361133,2.2374852335401867,4.5,2.5
13641,2023-07-05 17:50:48.157000+02:00,-72.2,-60.18181818181818,-61.80645161290322,-70.35127272727273,3.859193455526408,-60.44363636363636,1.5732977735943332,-61.14223446105429,2.1433108042975832,4.5,2.5
13642,2023-07-05 17:50:48.257000+02:00,-72.4,-60.45454545454545,-61.67741935483871,-70.29563636363636,3.807842808969904,-60.41454545454546,1.55903081006151,-61.24066089693155,2.0486885640322736,4.5,2.5
13643,2023-07-05 17:50:48.357000+02:00,-72.6,-60.72727272727273,-61.54838709677419,-70.21854545454545,3.718581187075319,-60.4,1.5525088064033774,-61.33211644374508,1.9542990032725636,4.5,2.5
