index,time,0,distance,posX,posY
112,2023-07-14 15:26:47.963000+02:00,-69,2.5,2.5,0.0
113,2023-07-14 15:26:48.966000+02:00,-67,2.5,2.5,0.0
114,2023-07-14 15:26:49.968000+02:00,-69,2.5,2.5,0.0
115,2023-07-14 15:26:50.970000+02:00,-65,2.5,2.5,0.0
116,2023-07-14 15:26:51.972000+02:00,-61,2.5,2.5,0.0
117,2023-07-14 15:26:52.976000+02:00,-66,2.5,2.5,0.0
118,2023-07-14 15:26:54.982000+02:00,-66,3.0,3.0,0.0
119,2023-07-14 15:26:56.986000+02:00,-76,3.0,3.0,0.0
120,2023-07-14 15:26:57.988000+02:00,-74,3.0,3.0,0.0
121,2023-07-14 15:26:58.990000+02:00,-68,3.0,3.0,0.0
122,2023-07-14 15:26:59.992000+02:00,-76,3.0,3.0,0.0
123,2023-07-14 15:27:00.995000+02:00,-62,3.0,3.0,0.0
124,2023-07-14 15:27:01.997000+02:00,-71,3.0,3.0,0.0
125,2023-07-14 15:27:03.001000+02:00,-61,3.0,3.0,0.0
126,2023-07-14 15:27:04.002000+02:00,-71,3.0,3.0,0.0
127,2023-07-14 15:27:05.003000+02:00,-69,3.0,3.0,0.0
128,2023-07-14 15:27:09.013000+02:00,-73,3.0,3.0,0.0
129,2023-07-14 15:27:10.014000+02:00,-61,3.0,3.0,0.0
130,2023-07-14 15:27:11.017000+02:00,-69,3.0,3.0,0.0
131,2023-07-14 15:27:12.019000+02:00,-71,3.0,3.0,0.0
132,2023-07-14 15:27:13.020000+02:00,-69,3.0,3.0,0.0
133,2023-07-14 15:27:14.023000+02:00,-76,3.0,3.0,0.0
134,2023-07-14 15:27:15.025000+02:00,-68,3.0,3.0,0.0
135,2023-07-14 15:27:16.026000+02:00,-60,3.0,3.0,0.0
136,2023-07-14 15:27:17.028000+02:00,-65,3.0,3.0,0.0
137,2023-07-14 15:27:18.030000+02:00,-73,3.0,3.0,0.0
138,2023-07-14 15:27:19.031000+02:00,-69,3.0,3.0,0.0
139,2023-07-14 15:27:20.034000+02:00,-68,3.0,3.0,0.0
140,2023-07-14 15:27:21.035000+02:00,-69,3.0,3.0,0.0
141,2023-07-14 15:27:22.037000+02:00,-65,3.0,3.0,0.0
142,2023-07-14 15:27:23.040000+02:00,-72,3.0,3.0,0.0
143,2023-07-14 15:27:24.042000+02:00,-70,3.5,3.5,0.0
144,2023-07-14 15:27:25.043000+02:00,-70,3.5,3.5,0.0
145,2023-07-14 15:27:26.045000+02:00,-73,3.5,3.5,0.0
146,2023-07-14 15:27:27.047000+02:00,-69,3.5,3.5,0.0
147,2023-07-14 15:27:28.050000+02:00,-74,3.5,3.5,0.0
148,2023-07-14 15:27:29.051000+02:00,-80,3.5,3.5,0.0
149,2023-07-14 15:27:30.054000+02:00,-76,3.5,3.5,0.0
150,2023-07-14 15:27:31.056000+02:00,-71,3.5,3.5,0.0
151,2023-07-14 15:27:32.059000+02:00,-67,3.5,3.5,0.0
152,2023-07-14 15:27:33.060000+02:00,-74,3.5,3.5,0.0
153,2023-07-14 15:27:34.063000+02:00,-67,3.5,3.5,0.0
154,2023-07-14 15:27:36.066000+02:00,-69,3.5,3.5,0.0
155,2023-07-14 15:27:37.070000+02:00,-69,3.5,3.5,0.0
156,2023-07-14 15:27:38.071000+02:00,-68,3.5,3.5,0.0
157,2023-07-14 15:27:39.073000+02:00,-71,3.5,3.5,0.0
158,2023-07-14 15:27:40.074000+02:00,-61,3.5,3.5,0.0
159,2023-07-14 15:27:41.077000+02:00,-75,3.5,3.5,0.0
160,2023-07-14 15:27:42.079000+02:00,-66,3.5,3.5,0.0
161,2023-07-14 15:27:43.080000+02:00,-74,3.5,3.5,0.0
162,2023-07-14 15:27:44.083000+02:00,-69,3.5,3.5,0.0
163,2023-07-14 15:27:45.086000+02:00,-73,3.5,3.5,0.0
164,2023-07-14 15:27:46.087000+02:00,-76,3.5,3.5,0.0
165,2023-07-14 15:27:47.089000+02:00,-77,3.5,3.5,0.0
166,2023-07-14 15:27:49.095000+02:00,-72,3.5,3.5,0.0
167,2023-07-14 15:27:51.100000+02:00,-68,3.5,3.5,0.0
168,2023-07-14 15:27:52.102000+02:00,-75,3.5,3.5,0.0
169,2023-07-14 15:27:53.104000+02:00,-77,3.5,3.5,0.0
170,2023-07-14 15:27:54.107000+02:00,-77,4.0,4.0,0.0
171,2023-07-14 15:27:55.110000+02:00,-65,4.0,4.0,0.0
172,2023-07-14 15:27:56.110000+02:00,-70,4.0,4.0,0.0
